startin 1
18 16 1895
18 17 1822
18 19 1526
19 1 986
19 2 1551
19 3 1015
19 4 1289
19 5 1103
19 6 1258
19 7 358
19 8 1734
19 9 113
19 10 931
19 11 1855
19 12 1544
19 13 930
19 14 110
19 15 1170
19 16 1653
19 17 1681
19 18 1404
m
0 1232 1104 1101 908 1743 712 1415 837 903 1100 1383 1459 282 259 833 578 197 1863
170 0 1433 933 422 1161 1806 921 225 664 932 1723 1083 1002 1047 731 744 1288 1830
1570 732 0 1306 1460 1330 99 632 905 1874 1781 608 171 236 1021 937 219 1411 852
1477 1513 1626 0 1883 979 997 1650 1228 1701 589 12 822 1820 1030 345 807 1370 546
1557 462 784 142 0 1131 1793 490 1019 188 1850 1695 666 243 1843 1133 1454 100 778
232 772 1831 960 1455 0 777 1194 1765 1829 696 385 206 94 380 740 87 1357 1837
4 1881 73 580 482 1859 0 1745 613 507 1070 1754 1869 1304 677 1604 1655 1312 858
998 1204 884 148 1241 805 139 0 1629 375 1444 1390 1818 702 1397 1879 1474 1092 1692
423 301 1767 1878 889 652 1098 425 0 1366 1416 1462 1332 1845 1121 283 1409 41 1476
1045 1107 1384 1642 1733 938 214 1865 1541 0 1060 1450 1664 1285 11 1074 1354 909 131
1652 1657 268 1852 315 304 1190 1645 1607 1679 0 886 1284 726 1586 223 946 902 1480
742 1509 1105 1268 1896 984 1423 1398 610 672 774 0 182 1683 815 1578 1301 760 1052
276 575 835 499 1326 477 2 617 1402 1219 594 1823 0 1573 86 244 1249 373 336
1656 1090 1337 994 1253 549 592 1210 1108 717 1356 187 1842 0 1327 1580 1634 1224 1618
819 1243 1154 767 758 70 1814 1719 1294 175 558 912 1246 1538 0 880 671 1553 1750
1143 1128 57 141 518 359 252 1598 790 177 1592 473 1250 1640 1273 0 1072 808 771
1387 599 827 661 59 202 974 1621 1412 1430 568 919 286 844 1024 1319 0 1608 978
128 352 262 410 1061 1001 347 1637 119 1636 1786 845 1827 1900 704 1895 1822 0 1526
986 1551 1015 1289 1103 1258 358 1734 113 931 1855 1544 930 110 1170 1653 1681 1404 0
E
