startin 1
13 6 429
13 7 64
13 8 573
13 9 1338
13 10 166
13 11 1532
13 12 518
13 14 1963
13 15 1941
13 16 1090
13 17 1291
13 18 1872
13 19 826
13 20 1266
14 1 1061
14 2 30
14 3 646
14 4 1610
14 5 572
14 6 909
14 7 5
14 8 163
14 9 265
14 10 384
14 11 391
14 12 205
14 13 1449
14 15 387
14 16 1909
14 17 1555
14 18 951
14 19 1536
14 20 1699
15 1 194
15 2 236
15 3 134
15 4 1783
15 5 225
15 6 591
15 7 459
15 8 294
15 9 320
15 10 592
15 11 1999
15 12 8
15 13 1865
15 14 1438
15 16 214
15 17 417
15 18 1623
15 19 1205
15 20 861
16 1 1992
16 2 1054
16 3 1210
16 4 796
16 5 1075
16 6 178
16 7 941
16 8 1703
16 9 1601
16 10 614
16 11 933
16 12 889
16 13 1094
16 14 438
16 15 1294
16 17 1933
16 18 1755
16 19 262
16 20 434
17 1 784
17 2 739
17 3 1907
17 4 4
17 5 1128
17 6 1647
17 7 1967
17 8 652
17 9 266
17 10 859
17 11 21
17 12 1108
17 13 1816
17 14 1719
17 15 580
17 16 1519
17 18 538
17 19 311
17 20 44
18 1 1504
18 2 1366
18 3 104
18 4 435
18 5 528
18 6 1721
18 7 1942
18 8 615
18 9 1826
18 10 1501
18 11 1786
18 12 1932
18 13 1630
18 14 1041
18 15 197
18 16 1764
18 17 1573
18 19 38
18 20 813
19 1 1203
19 2 1222
19 3 590
19 4 1139
19 5 264
19 6 1028
19 7 529
19 8 367
19 9 888
19 10 408
19 11 934
19 12 548
19 13 1733
19 14 1930
19 15 1565
19 16 1980
19 17 697
19 18 1056
19 20 1317
20 1 1916
20 2 1167
20 3 1515
20 4 1825
20 5 694
20 6 1891
20 7 3
20 8 291
20 9 1953
20 10 775
20 11 394
20 12 1925
20 13 608
20 14 98
20 15 760
20 16 1346
20 17 1146
20 18 687
20 19 132
m
0 359 585 1533 1126 422 1811 9 1788 1568 1017 238 1159 1491 567 141 127 1254 688 949
758 0 676 239 718 734 1377 1586 179 1612 88 1526 329 1375 162 1803 1780 1050 334 1078
1103 1759 0 626 997 610 486 852 95 1749 693 1561 1682 1982 310 285 374 1589 349 1579
326 609 175 0 176 1001 1083 437 523 1173 914 1625 147 1705 465 189 1494 377 1455 125
1951 7 1486 1818 0 1918 594 1807 691 1360 1678 1456 1961 1505 1113 1746 966 708 1085 1860
1646 1952 1987 144 1029 0 389 1897 89 881 1181 1692 123 581 593 1792 635 895 165 1609
1066 352 1461 1208 577 855 0 402 1190 1117 858 1638 1216 1550 172 386 53 1023 1846 829
622 1252 1587 213 509 1524 1348 0 1091 640 817 27 116 625 491 1690 1177 1450 1226 455
1871 182 987 107 1212 1874 140 1296 0 39 1160 1924 198 62 511 1637 583 375 1820 1035
514 969 113 283 764 1649 869 1964 1785 0 211 351 400 1038 1134 816 358 85 477 788
445 1875 1289 1389 366 907 1833 1592 1613 1962 0 1507 880 1549 46 805 894 1419 183 59
575 505 823 1471 1454 1370 1975 1195 956 783 839 0 578 1221 753 1282 130 1451 1283 187
860 1394 508 605 1144 429 64 573 1338 166 1532 518 0 1963 1941 1090 1291 1872 826 1266
1061 30 646 1610 572 909 5 163 265 384 391 205 1449 0 387 1909 1555 951 1536 1699
194 236 134 1783 225 591 459 294 320 592 1999 8 1865 1438 0 214 417 1623 1205 861
1992 1054 1210 796 1075 178 941 1703 1601 614 933 889 1094 438 1294 0 1933 1755 262 434
784 739 1907 4 1128 1647 1967 652 266 859 21 1108 1816 1719 580 1519 0 538 311 44
1504 1366 104 435 528 1721 1942 615 1826 1501 1786 1932 1630 1041 197 1764 1573 0 38 813
1203 1222 590 1139 264 1028 529 367 888 408 934 548 1733 1930 1565 1980 697 1056 0 1317
1916 1167 1515 1825 694 1891 3 291 1953 775 394 1925 608 98 760 1346 1146 687 132 0
E
